ESTADO,m20p,m20s,m21p,m21s,m22p,m22s,m23p,m23s,m24p,m24s,m25p,m25s,m26p,m26s,m27p,m27s,m28p,m28s,m29p,m29s,m30p,m30s,m31p,m31s,a1p,a1s,a2p,a2s,a3p,a3s,a4p,a4s,a5p,a5s,a6p,a6s,a7p,a7s,a8p,a8s,a9p,a9s,a10p,a10s,a11p,a11s,a12p,a12s,a13p,a13s,a14p,a14s,a15p,a15s,a16p,a16s,a17p,a17s,a18p,a18s
AGS,4,0,4,0,4,0,6,0,6,0,12,0,13,0,19,0,19,0,24,0,24,0,36,0,36,0,47,0,48,0,49,0,49,0,49,0,53,0,53,0,53,0,53,0,55,1,55,1,55,1,65,1,65,1,71,2,77,2,77,2
BC,4,0,8,0,11,0,13,0,13,0,14,0,19,0,20,0,20,0,23,0,27,0,35,0,37,0,40,3,52,5,54,5,69,6,111,7,136,7,225,15,239,16,258,17,278,20,335,22,368,25,412,28,464,28,505,31,536,33,610,68
BCS,0,0,1,0,1,0,2,0,2,0,5,0,7,0,9,0,9,0,11,0,13,0,17,0,18,2,19,2,21,2,27,2,28,2,54,2,56,2,68,2,68,2,85,2,102,2,120,2,153,3,164,5,165,6,166,6,169,6,173,6
CAMP,0,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,3,0,5,0,5,0,5,0,6,0,8,0,8,0,9,0,14,1,14,1,14,1,15,1,18,1,19,1,29,2,33,2,43,2,45,3,47,3,56,3
CHIS,2,0,2,0,2,0,2,0,2,0,4,0,4,0,7,0,6,0,10,0,11,0,13,0,14,0,15,0,18,0,19,0,25,0,26,0,28,0,32,0,34,0,38,1,39,1,43,3,43,3,45,3,48,3,54,3,58,3,62,3
CHIH,2,0,2,0,5,0,5,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,7,0,11,0,11,0,12,0,13,0,15,0,22,0,22,0,29,0,42,1,54,12,54,12,61,12,67,13,69,16,83,20,108,23,115,26,131,31
CDMX,31,1,45,1,56,1,60,2,66,3,82,3,83,3,107,5,177,7,196,7,205,8,234,8,296,8,327,13,384,15,469,17,560,19,609,29,723,32,855,39,909,43,1040,46,1117,49,1328,56,1437,64,1556,92,1686,99,1828,110,2080,136,2299,178
COAH,1,0,3,0,10,0,12,0,12,0,12,0,13,0,14,0,15,0,32,1,39,1,44,1,57,2,62,2,70,3,72,4,82,4,102,5,109,5,122,7,129,7,143,7,156,11,157,11,176,12,194,12,195,12,214,15,217,15,232,18
COL,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,4,0,5,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,9,2,10,2
DGO,4,1,5,1,5,1,5,1,5,1,5,1,5,1,7,1,7,1,7,1,7,1,7,1,7,1,8,1,8,1,10,2,12,3,12,4,15,4,15,4,16,4,16,4,16,4,16,4,16,4,15,3,16,4,17,4,19,4,19,4
GTO,4,0,4,0,4,0,7,0,12,0,19,0,23,0,31,0,37,0,37,0,43,0,46,0,49,0,50,0,52,0,53,0,53,0,58,0,61,1,67,1,71,1,78,1,81,5,82,5,88,5,90,5,91,5,96,6,113,7,116,9
GRO,4,0,4,0,4,0,5,0,6,0,7,0,7,0,7,0,10,0,13,0,13,0,15,0,17,1,22,1,24,1,25,1,30,2,32,3,37,3,47,4,49,5,54,6,56,6,70,6,77,6,88,6,97,8,100,9,110,11,110,11
HGO,2,0,3,0,5,0,7,0,7,0,7,0,12,0,12,0,12,1,17,2,17,2,19,3,21,3,26,3,30,3,32,5,34,5,35,5,41,6,46,7,47,7,51,7,53,8,58,9,58,9,64,10,64,12,67,12,70,13,75,13
JAL,28,0,32,0,41,0,46,1,46,1,46,1,64,2,77,3,82,3,83,3,90,3,94,3,99,3,104,4,116,6,120,6,123,6,126,7,135,7,139,8,139,8,144,9,150,11,156,11,159,11,165,11,176,11,178,11,190,13,196,13
MEX,14,0,14,0,22,0,22,0,22,0,26,0,46,0,70,0,85,0,119,0,136,1,149,1,157,1,171,1,177,1,180,3,204,3,261,8,320,9,354,11,399,11,470,16,498,19,523,22,558,27,602,35,659,43,695,46,754,49,786,52
MICH,0,0,0,0,3,0,7,0,8,0,10,0,11,0,16,1,17,1,17,1,17,1,21,1,24,1,24,1,24,1,29,1,30,3,33,3,34,4,36,5,46,5,46,7,50,8,61,9,62,9,67,11,70,12,84,13,99,14,107,16
MOR,2,0,2,0,2,0,2,0,2,0,2,0,4,0,4,0,4,0,6,1,6,1,7,1,9,1,9,3,12,3,14,3,15,3,17,3,24,4,26,5,35,7,35,7,40,7,44,7,49,7,53,9,56,10,58,10,73,10,77,11
NAY,0,0,1,0,1,0,1,0,1,0,4,0,4,0,5,0,5,0,5,0,6,0,6,0,8,1,8,1,8,1,9,1,9,1,10,1,10,1,12,1,16,3,19,3,21,4,22,4,25,4,25,4,27,5,29,5,31,5,33,5
